RA[deg]          	Decl [deg]          	|CMC15  |PanSt1 |2MASSAS|SDSS12 |URAT1  |UCAC4  |total
218.390241116270801	 -9.934165995006325	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
124.078038776647404	 50.047368005016388	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
253.241291882763676	-31.046592485659183	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
252.990419719779823	-31.176700922139638	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
253.335635152906292	-31.058343774293540	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
252.592046821430387	-30.951068600650547	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
252.158232077815370	-31.120019650765798	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
253.086518335814020	-31.213426901834147	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
253.384188485199303	-31.040424719448126	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
189.690429093872893	 27.442971411493172	|  NF   |  NF   |  NF   |  NF   |  NF   |success|1
190.617268880448336	 26.881065207464268	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
157.573486353605858	 42.151859789691592	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
149.772468355217853	 53.263687390930151	| fail1 |  NF   |  NF   |  NF   |  NF   |  NF   |0
138.684988393535491	 -0.596447225871758	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
137.375689908945503	 -0.399222489860769	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
140.029605427427896	 -0.153054011083540	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
145.621929364560600	-55.575338140611585	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
301.001852524629669	 23.268309849111386	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
301.695129117230238	 23.559432927577973	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
301.332472036254103	 23.654110564329351	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
300.962487480811490	 23.336756209034245	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
252.854433849242696	-33.207034189466953	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
253.003116969931625	-33.194931594236678	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
252.833877998760727	-33.117261462119636	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
252.844132725153742	-33.164015321848382	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
253.131888915633425	-33.208007321578791	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
 63.014648730430736	 20.831145943736910	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
 62.082229012832883	 20.141588931458305	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
 61.764317399382492	 20.280604621838251	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
166.066334831764522	-38.044607378940348	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
174.625131395878384	-34.925998749594598	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
 95.315951702265423	  6.295745758520388	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
288.112588511341301	 19.421269759961447	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
123.532231198972795	-68.385716129496046	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
357.322889894109039	-42.103468682495510	| fail1 | fail1 |  NF   | fail1 | fail1 |success|1
280.866589688308636	 -7.949549134008980	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
280.965101111261902	 -8.009645653698023	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
105.092163597856896	 58.873590925577219	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
 98.924991174422559	 59.738091895092850	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
115.862395232984994	  8.257680556899588	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
257.873131967622271	-16.491882430021434	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
242.921256896565637	-34.690771814879447	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
250.455535954088361	-31.895685307902959	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
250.438980242955893	-31.726557251636599	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
261.175067219052039	-46.257255827642382	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
255.299308146081074	 55.582609592633759	| fail1 |  NF   |  NF   | fail1 |  NF   |  NF   |0
257.785079744781171	 56.658900898024250	| fail1 |  NF   |  NF   |  NF   |  NF   |  NF   |0
279.126251918337857	 -4.102680852271977	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
265.336168418131876	-26.143055382464805	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
265.639105682659419	-25.866954198198542	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
265.631933757520301	-25.993351127873996	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
265.402755524555232	-26.032413971418134	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
265.610817332769670	-25.806469172447649	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
295.012306837381743	  5.505817902066741	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
295.045703979637153	  5.566600965562563	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
 70.665881539906991	-47.551734807157743	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 66.499687147206672	-46.353793154521142	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 65.989695056230047	-45.847292654934570	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
267.518277118140418	-35.733250973314775	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
 78.554946258594669	 81.656219382490079	| fail1 |  NF   |  NF   |  NF   |  NF   |  NF   |0
 65.142765645833876	 81.531791336094756	| fail1 |  NF   |  NF   |  NF   |  NF   |  NF   |0
  5.865570756790996	 24.307344323492373	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
190.016895935374663	-65.635712671620951	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
114.453815708654176	-21.612114144733233	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
247.295541112843267	 21.123439045497133	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
240.635026154383610	-58.206496534166789	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
240.207736031628428	-58.341330404444939	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
240.565257000589497	-58.150541375941465	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 32.328410245827143	-27.288159564836846	|  NF   |  NF   |  NF   | fail1 | fail1 |success|1
267.700525634820679	-39.558308517206527	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
332.850163960947611	 40.999928454935485	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
332.819427107264005	 41.016232854060469	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
146.451424578646083	 28.097852915984408	|  NF   |  NF   |  NF   |  NF   |  NF   |success|1
147.215734771449092	 28.437628407067614	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
144.207519777762514	 27.972477706359157	|  NF   |  NF   |  NF   |  NF   |  NF   |success|1
274.265939014766104	 44.092358869831379	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
230.978643297558506	-31.991142907765333	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
230.535885943210758	-31.870848956792294	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
305.184472045793370	-49.023552684718148	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
 52.866933706942902	-26.326545345948357	|  NF   |  NF   |  NF   | fail1 | fail1 |success|1
 54.131459872176571	-26.332871732897686	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
 53.557805467011548	-26.321774502466994	|  NF   |  NF   |  NF   | fail1 | fail1 |  NF   |0
246.340009321371952	-44.095759386722655	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
256.608715450056422	-32.853810012432248	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
230.224223669554675	-34.803722667669398	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
231.124492057091658	-34.598308144611082	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
255.966396121398873	 28.850268702367551	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
 43.281246914079922	-10.319034467247768	|  NF   |  NF   |  NF   | fail1 |success|success|2
 42.026926894105607	-11.764101578541377	|  NF   |  NF   |  NF   | fail1 |success|  NF   |1
292.467277283469855	 10.859964668877163	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
291.634148024785304	 11.082309308482902	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
291.783104931270429	 11.264228716052697	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
279.998518457781415	 -4.994579591072942	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
279.676651153728415	 -5.030288575711623	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
