ra,dec,CMC15,Pan-STARRS DR1,2MASS All-Sky,SDSS DR12,URAT1,UCAC4
157.78765239896302,-53.25806047277539,416.199,2.2454011,335.33044,156.5416,374.26248,508.46072000000004
108.5370940287986,18.48345580509556,770.8514,,5.4006057,8.383235,36.826138,
110.93132068734194,20.415298565858752,903.0756,,2.5011337000000005,3.9216230000000003,,3.0942242
278.16717138343023,-22.407668940745875,20.656399,12.780078,542.1146,497.52475,170.65248,37.120616999999996
278.15661534009394,-22.319929539442615,,196.74707,24.131247000000002,110.12238,136.93452,348.90587999999997
278.17402025020635,-22.380082447410754,105.71155,8.329077999999999,,5.709949,,560.7791
278.1548351645321,-22.383681107723465,423.2708,568.0753,382.1356,672.0621,2.5313444,11.771151
284.0776012606192,7.059728124548025,,3.983856,325.47598,172.48994,1028.2794,10.517574
271.6504428837723,-29.489275551140324,73.67418,269.25543,546.9559,327.1726,7.8434443,134.30751
225.94788287075437,-68.21564951675127,24.7481,46.539207,218.39012000000002,79.44718,5.1811023,264.12633999999997
197.1926148335603,18.70168314182444,,167.21454,355.01086000000004,690.0121,439.93903,8.233379
196.6348461617384,19.042270043543308,303.4659,,118.11643000000001,120.83633,2.5523963,
321.77720958609746,16.123737099574914,2225.203,8.76556,229.95195,493.99728,137.09958,497.62592
321.79039517618014,16.147625764532705,319.7329,272.33099999999996,545.15955,2.953507,872.47546,2.429186
114.62409911849329,-50.07143047519124,,,,146.81949,378.4407,29.280508
10.741440433276985,49.88654935815731,6.814376400000001,328.79996,19.874779999999998,6.4261003,315.99142,48.7008
11.82304850370708,50.48959175548489,780.20355,23.912155,344.29694,17.770235,335.69485,3.9891965
11.028478203861143,50.107044361104485,603.7230000000001,209.37193,574.9474,,4.425318,622.3417
277.57289899854726,-14.9559894436759,180.1523,389.6955,102.57378,936.5334,10.324672999999999,6.8462914999999995
277.2998369801641,-15.061146882133205,829.1709,,14.588757999999999,145.74713,234.61835,287.45648
136.32964687185208,-48.1126396178254,343.48523,33.114000000000004,8.237521000000001,,7.8242936,1257.8052
76.73091352188305,-69.64325717494027,246.34291000000002,149.60828,93.98474,,16.146069,543.6294
150.04047992114488,6.784129444259079,107.005356,16.447792,8.02407,1.5350581,127.54942,236.51317999999998
151.24157630866395,7.014513011680259,203.23405,490.04355,63.9567,54.075509999999994,65.64738,20.22075
149.6049402644879,6.9489479525268765,177.0261,240.54356,128.35396,396.0208,9.367733,426.58822999999995
144.00614911283662,-32.633608852057336,214.35768,887.4654,555.8075,723.5930000000001,461.27744,8.241031
272.3598696547858,-45.10707858220656,,6.9291553,,5.711862,3.7065346,8.598786
273.9132298759308,-33.69718330399673,96.24725,210.39879,426.47317999999996,509.0945,7.423164,32.504517
273.86367233619455,-33.557438685267954,144.60403,88.008224,551.76605,373.44086,,56.720192000000004
274.0544892547589,-33.38310153361084,311.75272,245.67322000000001,10.093423,9.442419000000001,,
274.10940930607984,-33.40468460251936,,,,3.9910803,,10.385125
121.36240113056836,-19.632023746151862,,,228.99446,45.99715,,
121.79082596389615,-19.190503156753174,672.4227,94.68299999999999,608.6313,154.68048000000002,570.6882,3.9381793
121.51045947253485,-19.38002557024382,82.51794,539.4839,225.32697000000002,165.89418,,1747.1525
70.99731591168475,51.1076388568435,835.9831,135.71921,169.93846000000002,7.6310080000000005,4.8117733,9.693017999999999
111.63840611320366,-25.82486185043181,42.581722,6.8073997,53.67658,28.423569,19.078512,10.357422999999999
112.29580376489855,-26.10732466372146,1165.1718,10.081980999999999,287.17734,,138.10843,127.35802
254.61026956029247,31.075293813223077,263.33972,28.009472,391.901,618.99896,621.61127,10.8703985
248.8827708255294,-61.995515997034175,595.24115,413.2943,6.4403453,3.486843,,554.38666
218.39024111627083,-9.934165995006325,189.01268000000002,10.722797,5.3026495,3.6504653,,1003.15076
124.07803877664742,50.047368005016395,2.3026721,13.811004999999998,,12.425925,884.00745,211.02821
253.24129188276368,-31.046592485659186,20.193539,1.5809828000000001,349.66122,,863.6371,429.8875
