ra,dec,pmra,pmdec,CMC15[dm|r|ra|dec|t],Pan-STARRS DR1[dm|r|ra|dec|t],2MASS All-Sky[dm|r|ra|dec|t],SDSS DR12[dm|r|ra|dec|t],URAT1[dm|r|ra|dec|t],UCAC4[dm|r|ra|dec|t]
246.03029789374585,-0.25687997394147943,-0.083737874405371,-9.852902891769457,2.99|20.84|246.025724|-0.253336|1999.4,0.3|26.131|246.03676926|-0.25357551|2012.2,1.87|28.142|246.037264|-0.253316|1999.2,0.05|18.584|246.029243|-0.251824|2001.4,2.4|20.954|246.0256582|-0.2533697|2013.4,2.23|20.928|246.0256883|-0.253342|1997.4
99.10572478759329,18.513547760954005,13.252608463043835,-185.62893878477317,0.54|2.517|99.105642|18.514236|2002.1,1.86|0.167|99.10572398|18.51358781|2012.3,1.93|27.714|99.10727|18.505983|1997.9,,1.96|0.346|99.1057117|18.5136361|2013.6,1.96|2.729|99.1056762|18.5142981|2000.0
270.16197597418824,-16.68468726140543,-13.928611626781109,4.757048862819799,2.51|11.153|270.165168|-16.684143|2002.6,2.02|14.819|270.16074091|-16.68074121|2012.4,3.45|24.246|270.166232|-16.690048|1998.3,,,nan|18.324|270.1672924|-16.6848859|1998.3
270.1379688402758,-16.670546627717194,-13.412416172457178,6.298308105578537,2.78|16.609|270.13841|-16.675136|2002.6,0.46|15.245|270.1354444|-16.6670697|2012.4,4.35|16.024|270.137504|-16.666113|1998.3,,,5.91|13.78|270.1401103|-16.6673053|1999.4
270.0188259017549,-16.644908321702626,-15.1768298895495,9.47688437230578,2.64|15.747|270.023295|-16.645829|2002.6,0.1|22.094|270.01257351|-16.64360006|2012.4,4.09|25.257|270.013502|-16.640093|1998.3,,,nan|14.366|270.0225215|-16.6430492|1997.8
270.1561222881497,-16.589879081126963,-16.79401915673032,4.114374182217726,3.31|8.948|270.153764|-16.590893|2002.6,0.41|11.689|270.15274994|-16.59010281|2012.1,4.53|26.988|270.163336|-16.592789|1998.3,,,nan|10.61|270.1534065|-16.5912434|1989.7
270.15912445171193,-16.72065431279649,-16.586910971813438,-1.5734510071307015,3.02|3.384|270.159265|-16.72158|2002.6,1.43|22.647|270.15399067|-16.71673315|2012.2,4.44|9.152|270.157575|-16.722708|1998.3,,,
268.65475932428103,-15.814526729615624,-6.982367256306577,-1.499386959706169,2.56|7.353|268.656885|-15.814392|2002.6,0.22|29.498|268.65655522|-15.82253225|2012.4,3.68|23.438|268.659874|-15.818792|1999.3,,,nan|15.943|268.6513359|-15.8174739|1997.5
270.1800661448332,-16.62284908362641,-13.626339046597304,6.4449388190045225,3.06|18.371|270.180417|-16.627936|2002.6,0.04|26.414|270.18529565|-16.61747752|2012.3,4.73|20.775|270.185653|-16.620672|1998.3,,,6.63|24.998|270.1791442|-16.62973|1999.2
268.6702924782644,-15.797477894978687,-13.2340959611473,5.207719795087641,3.16|12.818|268.673706|-15.798863|2002.7,0.01|27.072|268.67798097|-15.79885862|2012.3,2.84|28.377|268.663656|-15.802084|1999.3,,,
107.8658259795923,48.327932722393726,-93.0761681487608,-570.5525197717676,0.28|7.156|107.866281|48.329892|2003.2,1.43|1.578|107.86630605|48.32823216|2013.2,0.69|19.25|107.858554|48.325653|1999.0,,1.53|1.094|107.8658775|48.3282292|2013.7,1.54|7.191|107.866275|48.3299025|2000.0
108.36412189587375,48.28190587969664,-143.74927811078368,-210.4233835796392,0.95|3.138|108.364833|48.282635|2003.4,2.08|0.219|108.36412515|48.2819606|2014.8,3.16|4.166|108.365117|48.282852|1999.0,,2.25|0.47|108.3642086|48.2820192|2013.6,2.26|3.128|108.3648871|48.2826073|2000.0
197.25599432142346,-57.45532884596653,33.71783487447562,54.45638291334296,,,3.22|11.799|197.253167|-57.452431|1999.5,,,nan|8.456|197.2532333|-57.4571425|1979.5
196.80439709997142,-57.44034417935782,-15.854939917158426,-16.7805937382722,,,4.06|10.419|196.802089|-57.442955|1999.5,,,6.87|21.058|196.8149433|-57.4388967|1995.4
197.23800971738925,-57.36041538728581,-11.70090012383515,-19.401067078407273,,,3.63|25.291|197.225311|-57.361942|1999.5,,,4.31|25.121|197.225598|-57.3584767|1993.6
197.02328627880257,-57.41571624538077,-13.53778856080983,-18.1278398713368,,,3.68|9.171|197.027936|-57.416229|1999.5,,,5.3|6.585|197.02084|-57.4169773|1996.2
197.00916143527598,-57.56827317175912,5.065449558129811,10.842810494289756,,,3.67|18.998|197.017135|-57.56517|1999.5,,,nan|18.467|197.0001209|-57.5666234|1977.0
196.93581066384976,-57.448269638029956,25.711558887864012,26.634867410533708,,,3.6|6.774|196.935202|-57.446419|1999.5,,,4.97|22.53|196.9474577|-57.4482817|1993.1
