RA[deg]          	Decl [deg]          	|CMC15  |PanSt1 |2MASSAS|SDSS12 |URAT1  |UCAC4  |total
137.375689908945503	 -0.399222489860769	 8.413289	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
140.029605427427896	 -0.153054011083540	11.758001	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
145.621929364560600	-55.575338140611585	13.495148	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
301.001852524629669	 23.268309849111386	20.919127	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
301.695129117230238	 23.559432927577973	20.704561	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
301.332472036254103	 23.654110564329351	20.835485	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
300.962487480811490	 23.336756209034245	 7.020233	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
252.854433849242696	-33.207034189466953	20.286514	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
253.003116969931625	-33.194931594236678	19.989027	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
252.833877998760727	-33.117261462119636	20.153511	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
252.844132725153742	-33.164015321848382	19.306612	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
253.131888915633425	-33.208007321578791	19.801390	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
 63.014648730430736	 20.831145943736910	14.963053	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
 62.082229012832883	 20.141588931458305	13.742665	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
 61.764317399382492	 20.280604621838251	14.685039	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
166.066334831764522	-38.044607378940348	19.911251	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
174.625131395878384	-34.925998749594598	12.207490	|  NF   | fail1 |  NF   | fail1 | fail1 |  NF   |0
 95.315951702265423	  6.295745758520388	13.866035	|  NF   |  NF   |  NF   |  NF   |  NF   |  NF   |0
288.112588511341301	 19.421269759961447	20.694000	|  NF   |  NF   |  NF   | fail1 |  NF   |  NF   |0
123.532231198972795	-68.385716129496046	11.412107	| fail1 | fail1 |  NF   | fail1 | fail1 |  NF   |0
