,gaia_ra,gaia_dec,cat_ra,cat_dec,dt,dm,dist_sec,gaia_pmra,gaia_pmdec,new_pmksi,new_pmeta,F
6027696058308357760,254.29518668933304,-31.35566304598321,254.2948509,-31.3528781,17.70000000000005,,10.065,-12.47086705164148,15.001385676909184,0.5511399917263256,-10.542985223549325,10.62944128007325
5794581554343572096,236.0404676375573,-72.55936255144208,236.0517527,-72.5587725,30.799999999999947,0.21,12.334,-292.39434176975936,-61.98031452294738,-1.9493175776964309,-5.347232132049554,231.19675074652008
3999433452516434560,180.18576535460744,20.848186880832397,180.18633590000002,20.8472778,15.5,1.72,3.779,-129.49672692481522,235.9547248878534,0.05766868234761529,-0.6405075746517881,131.1869511237563
4901229043960053248,4.60971642938118,-63.47774960730262,4.608843,-63.4774953,24.299999999999947,,1.665,90.06748591227064,-59.18017358531833,8.070558882559636,-1.022143429113949,50.07703108248289
4901420874379682304,0.634392555573465,-63.404373096473215,0.641273,-63.4019714,15.5,1.65,14.062000000000001,-500.24225051723465,-551.7974730494599,2.583126817965728,-2.7610810723614234,263.19092310869917
4901196814525510016,3.396207613318845,-63.83916575063653,3.395878,-63.8392884,23.09999999999991,1.96,0.684,39.55330749983222,26.0086143880757,3.8725021959094863,-2.1359259873858374,21.926682721172856
4901340747469751936,1.0333316347129542,-63.70835445266874,1.0315845,-63.7081692,21.700000000000053,1.74,2.855,177.30062140229302,-43.75495960952375,1.780127910860681,-1.7897418686583983,70.01813464827393
4051765258240341888,277.4397687423492,-27.47240637600302,277.4390153,-27.4731281,23.40000000000009,,3.573,-27.405706882933522,12.563204872137485,2.0902928451854184,26.38891801163957,13.699563236423426
4051767869640471168,277.2604935725612,-27.43230841007973,277.2618518,-27.4302367,29.299999999999947,,8.599,-32.53970485340337,18.96304647802169,8.683535283744831,-2.567726204775949,31.911086003710388
5351340207855014528,160.54559937963225,-56.70588642079543,160.5445483,-56.706222,18.20000000000005,5.03,2.418,-6.610273300476935,33.77403918381704,-6.952724188769207,3.844510399385826,14.438197615341982
2877522230262577024,2.169965152444446,36.626589527193254,2.1705765,36.6271245,24.299999999999947,,2.5869999999999997,-114.06869930444664,-124.30038866640952,1.5528792236276818,-0.3893771590497461,123.327944653953
4089359725486922880,275.132162070102,-24.00048909998126,275.1327848,-24.0058214,21.0,2.46,19.323,-7.9358548286223805,4.877275772464745,-53.05473003663935,97.43535171063736,57.00597846925341
4038375680551085184,273.64344414974585,-35.77343855860148,273.63768860000005,-35.77094310000001,20.5,,19.072,-25.468632503468232,11.9540959513404,-9.293639932006695,-10.052749046244848,13.800328704035964
2686719884389687040,322.9981677135474,-1.3354701376279616,322.99856360000007,-1.3344803,17.40000000000009,1.8,3.811,-95.4914424828376,-239.3776220807346,0.9895012968594116,-3.2921632398708653,121.93159563257666
5878648701571164544,217.6491970354521,-60.4744910154249,217.65027450000002,-60.4662698,18.59999999999991,4.43,29.651,11.640091135153325,-7.348144675807536,-6.049660918239338,11.501910484245222,9.11606502474796
